nama_sekolah,npsn,bp,status,pd,guru,kecamatan ,wilayah 
SMP Kesatuan,20106827,SMP,Swasta,244,7,Cengkareng,Jakarta Barat
SMP KRISTEN KALAM KUDUS III,20106816,SMP,Swasta,112,14,Cengkareng,Jakarta Barat
SMP LAMAHOLOT,20106831,SMP,Swasta,129,8,Cengkareng,Jakarta Barat
SMP MERDEKA SARI,20106838,SMP,Swasta,167,9,Cengkareng,Jakarta Barat
SMP MULIA KENCANA,20122036,SMP,Swasta,102,6,Cengkareng,Jakarta Barat
SMP Pelita Dua Strada,20108806,SMP,Swasta,351,15,Cengkareng,Jakarta Barat
SMP PELITA KASIH,20110264,SMP,Swasta,130,8,Cengkareng,Jakarta Barat
SMP RAHMANI II,20109499,SMP,Swasta,34,4,Cengkareng,Jakarta Barat
SMP SANTO KRISTOFORUS II,20106882,SMP,Swasta,425,26,Cengkareng,Jakarta Barat
SMP Santo Leo II,20106876,SMP,Swasta,265,14,Cengkareng,Jakarta Barat
SMP SERAPHINE BHAKTI UTAMA,20106879,SMP,Swasta,148,8,Cengkareng,Jakarta Barat
SMP TRINITAS,20106896,SMP,Swasta,67,4,Cengkareng,Jakarta Barat
SMP USWATUN HASANAH,20106899,SMP,Swasta,117,14,Cengkareng,Jakarta Barat
SMP Vianney,20106900,SMP,Swasta,160,13,Cengkareng,Jakarta Barat
SMP WAWASAN NUSANTARA,20106901,SMP,Swasta,93,7,Cengkareng,Jakarta Barat
SMP YAPIDA,20109010,SMP,Swasta,187,10,Cengkareng,Jakarta Barat
SMP YAPINDO II DKI JAKARTA,20106909,SMP,Swasta,158,11,Cengkareng,Jakarta Barat
SMPI SHIRATHU AL RAHMAN,69900583,SMP,Swasta,53,11,Cengkareng,Jakarta Barat
SMPS KARTINI,20109518,SMP,Swasta,16,8,Cengkareng,Jakarta Barat
SMPS PahTsung,69952551,SMP,Swasta,110,16,Cengkareng,Jakarta Barat
SMP Negeri 125,20101552,SMP,Negeri,634,27,Kali Deres,Jakarta Barat
SMP Negeri 169,20101574,SMP,Negeri,637,28,Kali Deres,Jakarta Barat
SMP Negeri 186,20101572,SMP,Negeri,842,34,Kali Deres,Jakarta Barat
SMP NEGERI 187 JAKARTA,20101571,SMP,Negeri,625,31,Kali Deres,Jakarta Barat
SMP Negeri 190,20101569,SMP,Negeri,670,31,Kali Deres,Jakarta Barat
SMP NEGERI 204,20101549,SMP,Negeri,633,24,Kali Deres,Jakarta Barat
SMP NEGERI 205 JAKARTA,20101548,SMP,Negeri,748,35,Kali Deres,Jakarta Barat
SMP NEGERI 224 JAKARTA,20101527,SMP,Negeri,470,21,Kali Deres,Jakarta Barat
SMP Negeri 225,20101526,SMP,Negeri,864,42,Kali Deres,Jakarta Barat
SMP NEGERI 278 JAKARTA,20101547,SMP,Negeri,585,27,Kali Deres,Jakarta Barat
SMP AL ABBASIYAH,20109496,SMP,Swasta,52,7,Kali Deres,Jakarta Barat
SMP AL MUMIN,20108794,SMP,Swasta,284,10,Kali Deres,Jakarta Barat
SMP Al Qomar,20106730,SMP,Swasta,248,12,Kali Deres,Jakarta Barat
SMP AL-IHROM,69895883,SMP,Swasta,19,6,Kali Deres,Jakarta Barat
SMP ARROHMAN,20108795,SMP,Swasta,96,13,Kali Deres,Jakarta Barat
SMP BENTENG GADING,20106744,SMP,Swasta,117,9,Kali Deres,Jakarta Barat
SMP BINA BANGSA,20108796,SMP,Swasta,205,11,Kali Deres,Jakarta Barat
SMP BINA INSAN KAMIL,69940378,SMP,Swasta,143,7,Kali Deres,Jakarta Barat
SMP Bina Kusuma,20106747,SMP,Swasta,125,10,Kali Deres,Jakarta Barat
SMP CAHAYA PRIMA,69981911,SMP,Swasta,73,0,Kali Deres,Jakarta Barat
SMP Citra Kasih,20108799,SMP,Swasta,359,25,Kali Deres,Jakarta Barat
SMP DIAN HARAPAN,20109335,SMP,Swasta,503,41,Kali Deres,Jakarta Barat
SMP Dian Kasih,20108800,SMP,Swasta,101,13,Kali Deres,Jakarta Barat
SMP DWI WARNA,69929585,SMP,Swasta,37,5,Kali Deres,Jakarta Barat
SMP Era Pembangunan III,20106775,SMP,Swasta,590,25,Kali Deres,Jakarta Barat
SMP Galatia 3,20106792,SMP,Swasta,54,9,Kali Deres,Jakarta Barat
SMP IT DAARUN NAIIM,20109950,SMP,Swasta,34,5,Kali Deres,Jakarta Barat
SMP IT DARUR ROSYID,69978119,SMP,Swasta,69,9,Kali Deres,Jakarta Barat
SMP KARTIKA X-2,20106818,SMP,Swasta,285,9,Kali Deres,Jakarta Barat
SMP KASIH ANUGERAH,69965364,SMP,Swasta,33,3,Kali Deres,Jakarta Barat
SMP KASIH IMMANUEL,69925710,SMP,Swasta,67,7,Kali Deres,Jakarta Barat
SMP KATHOLIK LIA STEPHANIE,69830498,SMP,Swasta,130,16,Kali Deres,Jakarta Barat
SMP Kebudayaan,20106822,SMP,Swasta,279,10,Kali Deres,Jakarta Barat
SMP KRISTEN KASIH KEMULIAAN,69829192,SMP,Swasta,267,19,Kali Deres,Jakarta Barat
SMP KRISTEN TIARA KASIH,20108807,SMP,Swasta,179,18,Kali Deres,Jakarta Barat
SMP MAHABODHI VIDYA,69966335,SMP,Swasta,148,11,Kali Deres,Jakarta Barat
SMP PADINDI,20106850,SMP,Swasta,359,15,Kali Deres,Jakarta Barat
SMP PANDU SISWA,20109074,SMP,Swasta,196,11,Kali Deres,Jakarta Barat
SMP PELITA ANUGERAH,20108803,SMP,Swasta,75,7,Kali Deres,Jakarta Barat
SMP PELITA BANGSA,69952552,SMP,Swasta,114,8,Kali Deres,Jakarta Barat
SMP PGRI 39,20106849,SMP,Swasta,99,4,Kali Deres,Jakarta Barat
SMP Plus Putra Indonesia,20106860,SMP,Swasta,145,14,Kali Deres,Jakarta Barat
SMP Putra Negara,20109037,SMP,Swasta,240,6,Kali Deres,Jakarta Barat
SMP Putra Nusa I,20106862,SMP,Swasta,39,5,Kali Deres,Jakarta Barat
SMP San Marino,20106871,SMP,Swasta,149,8,Kali Deres,Jakarta Barat
SMP SANTO PAULUS II,69981898,SMP,Swasta,0,0,Kali Deres,Jakarta Barat
SMP Setia Gama,20106880,SMP,Swasta,486,23,Kali Deres,Jakarta Barat
SMP TARUNA BANGSA,20106892,SMP,Swasta,94,11,Kali Deres,Jakarta Barat
SMP Terpadu Syanggit Cendekia,20106893,SMP,Swasta,36,7,Kali Deres,Jakarta Barat
SMP YADIKA 2,20108808,SMP,Swasta,427,18,Kali Deres,Jakarta Barat
SMP Yamis Jakarta,20106908,SMP,Swasta,203,9,Kali Deres,Jakarta Barat
SMP YANURI,69758813,SMP,Swasta,311,11,Kali Deres,Jakarta Barat
SMP YAPIS,20108809,SMP,Swasta,188,7,Kali Deres,Jakarta Barat
SMPS CITRA UTAMA,69774535,SMP,Swasta,144,5,Kali Deres,Jakarta Barat
SMPS INSAN CITA,69754417,SMP,Swasta,283,13,Kali Deres,Jakarta Barat
SMPS ISLAM TERPADU ALMAKA,69758817,SMP,Swasta,156,16,Kali Deres,Jakarta Barat
SMP NEGERI 105 JAKARTA,20101556,SMP,Negeri,739,36,Kembangan,Jakarta Barat
SMP NEGERI 134 JAKARTA,20101563,SMP,Negeri,715,34,Kembangan,Jakarta Barat
SMP NEGERI 142 JAKARTA,20101564,SMP,Negeri,833,39,Kembangan,Jakarta Barat
SMP Negeri 206,20101533,SMP,Negeri,716,30,Kembangan,Jakarta Barat
SMP Negeri 207,20101532,SMP,Negeri,742,35,Kembangan,Jakarta Barat
SMP Negeri 215,20101531,SMP,Negeri,856,38,Kembangan,Jakarta Barat
SMP NEGERI 219,20101530,SMP,Negeri,856,41,Kembangan,Jakarta Barat
SMP Al Abror,20106719,SMP,Swasta,56,8,Kembangan,Jakarta Barat
SMP Al Azhar 10 Kembangan,20106720,SMP,Swasta,407,23,Kembangan,Jakarta Barat
